tcID,ArtID,AName,Quote
585,36,N59,"La Exposición es un hecho, el Palacio está terminado, gran parte de los objetos colocados y dentro de breves horas, el tronar del cañón, los acordes de las músicas y los discursos de estilo nos anunciarán la apertura de la Exposición, gracias a la perseverancia, a la actividad y al empeño decidido del Club Industrial y de los que le hayan secundado, personas o corporaciones."
586,36,N61,"Llegado ese momento, hay que perdonar a todos sus errores si los cometieron, sus luchas y disenciones si las tuvieron, porque todo ello es muy pequeño ante la realización de la idea: al fin y al cabo, hombres son todos y nadie tiene, como obligación, la infalibilidad de que era cierto."
587,36,N63,"La Exposición es un hecho de trascedentales consecuencias, y ellas han empezado a sentirse, aun antes de su apertura. Si la plaza de antaño era una vergüenza al lado de vías de tramway de ferro-carril, de casas y fábricas, los empedrados de hoy hubieran sido otra vergüenza al lado del Palacio que se abre mañana, y ambas vergüenzas han desaparecido juntas: del aspecto de la calle de Rivadavia actual al que tenía hace unos meses, hay años de diferencia: el equilibrio se ha establecido, el embellecimiento de aquella parte de la ciudad es otro hecho, que conmemora y perpetúa a la Exposición antes de abrirse."
588,36,N65,"Una Exposición no es más que un inmenso mostruario en el que se exhiben los productos de la humana inteligencia, con pretensión de ser todos los mejores, sometiéndose al estudio y al ensayo de los pueblos; estudiémosla pues, porque sólo estudiándola podemos decir lo que vale."
589,36,,
590,37,N32,"Esta tarde, en los momentos en que éstas líneas vean la luz pública, la Exposición se habrá ya inaugurado; miles de personas habrán pasado sus umbrales y hecho su primera visita al templo del trabajo y de la industria, y en hoteles, cafés, teatros y casas de familia, en plazas, calles y tramways, no se oye hablar de otra cosa que de la Exposición."
591,37,N37,"Cada cual habrá recibido una impresión diferente, pues ésta, sobre todo cuando es hija del momento y del golpe de vista, varía mucho según el criterio de cada individuo, sus conocimientos y preocupaciones, las esperanzas o temores que de antemano hubiera concebido respecto al éxito de esta gran fiesta del progreso como aquello de que"
592,37,N50,"Pero es lo cierto que para visitar un espectáculo de este género es preciso una preparación previa o más bien tomar determinadas precauciones a fin de no incurrir en errores graves, y en la manera de que los católicos, para contraer matrimonio, empiezan a cumplir con otros mandamientos para llegar a él con el alma sin pecado, igualmente, el que se apresta a estudiar la Exposición Continental, debe antes limpiar su espíritu a su modo, si quiere proceder con imparcialidad y acierto."
593,37,N52,"Para ello, si Ud. estuvo en Europa, y visitó alguna de las grandes exposiciones universales que con asombro del mundo entero celebraron París y Viena, procure olvidarlas, porque ni Buenos Aires es París, ni esta República es Francia, ni sería justo, no ya entrar, sino tan siquiera acercarse al Palacio del 11 llevando en su mente recuerdo de aquello que ni debe ni puede compararse con estos primeros esfuerzos de países jóvenes aún, en que se empieza a vivir y en los que en ninguna escala se cuenta con los elementos de aquellas grandes capitales europeas."
594,37,N54,"Pero a fuer de imparcial, procure olvidar también un tanto la Exposición del Colegio Nacional del 77, y la del año pasado de la población italiana, porque podría al parangonar hacerlo de una manera quizá no tanto despreciva y de seguro muy injusta para estas dos últimas, si no tiene en cuenta que la primera fue un ensayo y la segunda un laudable esfuerzo de una agrupación determinada, mientras que en la actual concurren todos sin distinción."
595,37,N56,"Preparados así, o al menos creyendo estarlo, acerquémonos al 11 de setiembre, y hora antes que lleguen los convidados, cuando se da la última mano a todo, cuando el vencimiento del plazo se acerque finalmente, cuando cada minuto que pasa es una angustia más, un nuevo apuro, entremos y observemos."
596,37,N58,"No es nuestro ánimo empezar en este momento el estudio detallado a que dedicaremos los artículos siguientes: al hacer esta visita, no hay Exposición aún, no hay más que preparativos, la Exposición está, si cabe la frase, en curso de fabricación, y nos vamos a limitar a ver el conjunto, a darnos cuenta de lo que es el recinto, de lo que contiene, de lo que parece y de lo que promete, preparando así nuestro itinerario para lo sucesivo."
597,37,N60,"No puede darse más grata confusión, más gente atareada ni mayor movimiento, reinando al mismo tiempo el orden propio de un recinto donde cada cual tiene su misión fijada de antemano, sin tiempo que perder, porque es poco y hay que aprovecharlo, idea que se pinta en los rostros de cuántos van y vienen en el desempeño de sus funciones."
598,37,N62,"Pero en medio de esa agitación, es imposible darse cuenta de detalles: no es el momento de estudiar un grupo aislado, ni un salón determinado, porque ni hay catálogo, ni sitio donde no falte un algo por insignificante que sea. Apenas puede uno darse cuenta de lo que es el conjunto, más es lo cierto que aquel vasto edificio que por fuera mide dos cuadras de largo por una de ancho, que parece algo bajo de techo comparado con su extensión, contribuyendo a achatarlo más las torres y los pabellones que en sus esquinas y portadas se levantan, visto por dentro tiene algo de grandioso, a pesar del hacinamiento de objetos que aún se nota a última hora."
599,37,N64,"Hay secciones incompletas, algunas atrasadas, otras a punto de concluirse; por todas partes se ven embalajes de todas clases, vacíos unos, medio llenos otros. Aquí ponen en rótulo a un magnífico escaparate, allí colocan a toda prisa varios modelos de encuadernación, más allá se desempaqueta una máquina o aparato cualquiera, mientras los obreros cruzan, van y vienen, los unos transportando en un pequeño vagón de un ferro-carril en miniatura una enorme campana, los otros cuelgan un cuadro, clavan una tela del decorado, separan a un lado tablas inútiles, arman un magnífico armario, y como allí hay trabajo para todos, se ve en una gran vitrina a dos elegantes señoritas colocando objetos, mientras otras cortan banderas, cosen y rematan las diversas labores que les están encomendadas."
600,37,N66,"De manera que aquéllo es un conjunto de muebles armados y para armar, vacíos unos, medio ocupados otros, cuadros colocados y decubiertos, otros vedados aún a la vista de las gentes por las telas en que están enfundados y unido a ésto una variedad notable de decoraciones, desde las formadas por los colores de la nación respectiva, quizás demasiado recargados y de aspecto un tanto chillón, hasta la de carácter morisco, o las compuestas de arcos atrevidos y severos que parecen por sí solas revelar que por allí debe haber andado la mano y el pensamiento de la sesuda y pensadora raza germánica."
601,37,N68,"El mismo aspecto presenta el gran salón de fiestas donde, casi todo concluido, vése en informe amontonamiento, una verdadera selva vírgen de sillas, y si del recinto interior pasemos a los patios, nótase la misma actividad, el mismo ir y venir, el mismo afán en todos y para todos."
602,37,N70,"Puentes rústicos y de material, cabañas enormes y toneles más enormes aún, quioscos caprichosos, y obras de todo género, que iremos decribiendo oportunamente, y esta vida febril de última hora que da a aquéllo el aspecto de la ciudad oxigenada de Julio Verne se ramifica al exterior, pudiendo el transeúnte observar en la gran Avenida de Rivadavia, que se hacen transportes de multitud de objetos que no son ciertamente de los que constituyen el movimiento comercial de los días ordinarios; el peón lleva sobre sus hombros enorme cuadro fotográfico, un carretón transporta una urna de cristal llena de plantas; otro vehículo conduce un pesado aparato de mecánica; la circulación es a veces interrumpida a las puertas del Palacio por la descarga de algún bulto de no comunes dimensiones, y en una palabra, no parece sino que Buenos Aires entero está constituído en calle o pasadizo del local de la Exposición."
603,37,N72,"Los que hoy hayan concurrido a la ceremonia solemne de la apertura, ya como invitados, ya por derecho propio mediante el pago de la entrada consiguiente, no sospechan en verdad que muchos cientos de ciudadanos, se pasaron la noche anterior en vela, clavando, colgando, arreglando, escribiendo, dictando órdenes y disposiciones para contribuir al mejor brillo de la fiesta. Si en los momentos en que ésta tuvo lugar han notado entre los animados concurrentes algunos rostros vacilentos en los que se pintaban las huellas de la fatiga y del insomnio, pueden muy bien decir sin temor de equivocarse: ""A ésos debemos eso""."
604,37,N74,"Y ahora que también nosotros hemos hecho nuestro trabajo preliminar, pura y simplemente para orientarnos y trazarnos un plan de tareas definitivas, decansemos, que fuerza es recoger un poco el espíritu, meditar sobre lo que hemos visto y preguntarnos si la agradable impresión que nos ha causado la primera visita a esa Exposición cuando aún no estaba acabada de instalar, será impresión pasajera, o se arreglará con la observación y el estudio de los días sucesivos."
605,37,,
606,38,N25,"Se produjo anoche un entorpecimiento con motivo de la falta de alumbrado. El gas debía encenderse a las nueve y sólo pudo hacerlo hoy a las cuatro de la madrugada, hora en que estuvo listo el gasómetro."
607,38,N30,"Todo el Palacio estaba a oscuras, y como es consecuente no se dejaba entrar a nadie. Los expositores que contaban con la noche para concluir sus trabajos o adelantarlos han sufrido un retardo considerable."
608,38,N32,Desde las primeras horas de esta mañana se ha trabajado incesantemente en todas las secciones.
609,38,N34,El gran vestíbulo de la entrada ha quedado muy bien arreglado con alfombras lujosas y estatuas de mármol.
610,38,N36,"La animación que anoche y esta mañana ha reinado en la calle de Rivadavia, desde Callao hasta el Once, ha sido inmensa. Carruajes, carros, gente a pie y a caballo, los tramways completamente repletos, daba vida a la ancha calle."
611,38,N41,"- El vecindario de la Capital ha respondido dignamente a la invitación hecha por la Comisión Inspectora de la Exposición: los edificios públicos, los consulados, los clubs, y la mayor parte de las casas de comercio y particulares ostentan en sus frentes las banderas de sus respectivas nacionalidades unidas a la de la patria. La ciudad presenta por todas partes un pintoresco aspecto; y la animación será mayor durante la noche, una vez iluminadas las plazas y edificios públicos como ya se ha ordenado. "
612,38,N43,"Un acto de la naturaleza del que hoy se celebra, tiene que encontrar eco simpático en todos los corazones."
613,38,N39,Embanderamiento
614,38,,
615,39,N40,"""Sr. Presidente de la República, Señores: Tengo encargo del Club Industrial que ha preparado esta Exposición, para pediros que la inauguréis solemnemente a nombre de la Nación. Es la primera Exposición, salida de sus límites geográficos, que la República celebra, y debe ser abierta a la sombra de su gloriosa bandera, que la América tanto conoce, y anunciada por la voz de su Primer Magistrado."
616,39,N45,Sr.Presidente:
617,39,N47,"Recorreréis pronto este recinto, y veréis que nuestro llamamiento ha sido escuchado hasta donde se extendía, y por los objetos exhibidos, por su número y su procedencia, la presente Exposición es verdaderamente nacional y continental."
618,39,N49,"Representa nuestro impulso más poderoso en las vías del progreso industrial, siendo de anotarse que ha nacido de las entrañas del pueblo mismo, como si hubiera sido instintivamente esperada por el sentimiento de su grandeza. Es al mismo tiempo el movimiento más expansivo que haya partido de esta parte de la América, buscando esas relaciones universales del comercio, que forman hoy más que nunca los vínculos de la solidaridad humana, y que se hallan representados por el intercambio de los productos, por la estela de la nave en los grandes océanos, o por el inmigrante que llega a los territorios desiertos conducido por la locomotora, como un nuevo centauro cabalgando sobre esa máquina de metal."
619,39,N51,Señores:
620,39,N53,"Se ha dicho con propiedad que una Exposición es el moderno forum, al que son convocadas las naciones. Se hablaría tal vez con mayor intuición de lo verdadero, afirmando que una Exposición Universal es un microcosmos, una representación pequeña pero viva de la humanidad futura."
621,39,N55,"A la luz de estos grandes espectáculos, se siente visible el día en que cada hombre tendrá a su alcance, como el visitante de nuestras exposiciones, lo más lejano como el helecho que crece endurecido por la nieve de los polos, lo más audaz como el espectroscopio que trae al gabinete del sabio al sol mismo, para que pueda verificarse que sus manchas no son sino rascaduras en su superficie luminosa, lo más vulgar siéndolo tal luz que se produce bajo todos los climas -y lo más recóndito, no solamente el metal arrancado a los senos ocultos de la tierra, sino el producto vegetal alzado desde los abismos del mar donde servía tal vez de alimento al coral, ese paciente constructor de continentes y de islas, refugiado en profundidades, hasta las que no baja la tempestad, y que se encuentran ya perturbados en sus mansiones sin luz por la mano del hombre."
622,39,N57,"No hay a la verdad otro espectáculo como el de una Exposición para sentir poderoso y vivo el vínculo humano, mostrando realmente que nos existen pueblos apartados, porque la Civilización derrama sus beneficios para todos, porque la mente humana, transformada y engrandecida, es el patrimonio común y porque cada hombre trabaja para otro hombre, a través de los continentes o de los mares infinitos. La sentencia que pasó sonriente de ironía ahora ha dos mil años por los labios del poeta cómico de Roma, resuena en estos recintos como el himno del poderío que avasalla la tierra: ""Soy hombre, y nada de lo humano me es ajeno. Homo sum et nihil humanum a me alienum .. "
623,39,N61,"Esta solidaridad por la industria, por la ciencia, por el comercio, no es solamente para el hombre civilizado, sino también para los que viven bajo la barbarie primitiva. Una de nuestras revistas comerciales observaba últimamente que eran cada día más reclamadas las vistosas plumas que nuestros salvajes nómades arrancan a las aves del desierto. ¿Por qué son tan necesitadas, y adónde van? El comerciante inglés las lleva a las regiones misteriosas de la India, y la bayadera las despliega en su traje, ligándolas con cascabeles resonantes para penetrar en su templo, cuyo nombre sólo es revelado por la ciencia incierta de un misionero."
624,39,N63,"Así, el vínculo es universal, el indio de la Patagonia que, abrigado bajo una roca desprendida de los Andes, grava sus signos con la punta de su flecha como en la Edad de Piedra, cambia sus productos con aquellas naciones bronceadas, portadores del origen humano, que escriben sus extraños caracteres de derecha a izquierda después de seis mil años."
625,39,N65,Señores:
626,39,N67,"Ensayamos una Exposición Nacional en Córdoba, y después de diez años venimos a realizar otra continental en Buenos Aires, bajo un foco más vasto, haciendo presentir tras su nuevo diseño la futura Exposición Universal que llevará nuestro nombre, cuando la voz de la convocación, partiendo desde las márgenes del Plata, pueda ser escuchada en toda la redondez de la tierra. Estas son y serán las columnas diarias que vamos dejando en el camino para medir nuestros adelantos interiores, la extensión progresiva de nuestras civilizaciones comerciales, y el tamaño mismo de la figura cada día creciente que proyectamos sobre el escenario del mundo."
627,39,N69,"Están aquí representados por sus objetos naturales y por sus productos industriales nacionaes todas que participan con nosotros la habitació del continente Sur-Americano -el imperio poderoso que ofrece casi sin competencia al comercio universal los productos tropicales- y todas esas naciones, incluyendo Méjico mismo, por las que circula nuestra misma sangre, que fueron como nosotros, colonias de la España, que se hallan con nosotros asociadas a este fecundo y tumultuoso movimiento, por medio del que van por todas partes desenvolviendo la properidad interior, superando las distancias, y cubriendo el desierto primitivo, al mismo tiempo que fundan con fortuna varia y entre trágicas o dramáticas vicisitudes, pero con ánimo constante - gobiernos libres."
628,39,N71,"Falta, sin embargo, el Perú opulento, con aquella ciudad famosa que fue llamada la Ciudad de los Reyes, y que en la vida colonial era la rival que las Américas oponían a la metrópoli misma española, y faltando se hace por su ausencia misma la más presente a nuestros corazones sur-americanos. No está tampoco Bolivia, nuestra hermana, desprendida del regazo común, y a la que divisamos desde la frontera inclinada sobre sus altas montañas, esperando para escapar de la soledad que la oprime, el advenimiento de los rieles que extendemos para buscarla, o que desembaracemos el amplio cauce de los ríos que llegan hasta el Plata y que tienen en aquéllas su nacimiento."
629,39,N73,"Cuántos progresos serán sinceramente notados por el observador que compare los resultados de esta Exposición con los de la de Córdoba! La paz, sin la que no hay trabajo, reposa sobre el sentimiento profundo de la seguridad interior - y si se presentan dificultades que son inherentes a la vida misma, no se preveen ya los conflictos que nacen de los antagonismos internos. Hemos en estos últimos diez años, completado nuestra organización política, al mismo tiempo que agrandábamos nuestro dominio civilizado, arrancando territorios extensos y ríos navegables al salvaje que los poseía."
630,39,N75,"No hemos encontrado todavía en las profundidades del suelo, el carbón de piedra y el hierro que presiden el movimiento material del mundo. Pero se ostentaban sobre su superficie, sin ser notados, - el caolin con que se fabrica la porcelana, - los mármoles del Tandil que el ferro-carril traerá mañana mismo para tenderlos sobre el pavimento de esta hermosa ciudad, a la que hemos restituido su destino glorioso, proclamándola Capital de la República - y los lagos insondables de petróleo en Jujuy, con los que iluminaremos la tierra, si es que no lleguemos tardíos como productores de la luz, nos encontramos sobrepasados por la luz eléctrica que hoy se presenta más que nacida de productos materiales, como un esplendor de la inteligencia humana."
631,39,N77,"Todos estos objetos son nuevos en la Exposición presente. Pero ¡cuánto crecimiento en los ya conocidos! El azucar tucumano apareció en la Exposición de Córdoba, y no era sino una muestra, mientras que ahora se fabrica por millones de arrobas, proveyendo al consumo de la mitad de la República. Estaban también allí los cereales de Santa Fe, y eran señalados solamente como un argumento para probar que el suelo progrese bajo el pie del inmigrante; y dan ahora ocupación a cincuenta mil hombres, y sus precios se cotizan en los mercados de Europa, donde ha sido saludada su presencia reveladora de nuevos mercados productores como uno de sus auxilios que llegan inesperados para mejorar la incierta suerte de las clases proletarias."
632,39,N79,"Sr. Presidente; señores: era sabido que producíamos materias primas, porque nos incorporamos con ellas después de muchos años al intercambio universal; pero los promotores de la Exposición han querido también demostrar que somos capaces de trabajo industrial, que sus productos son ya numerosos y que hay preocupación en reputarlos superiores a nuestros esfuerzos. ¿Por qué nos resignaríamos a aceptar por siempre que la labor industrial debe estar concentrada en lugares determinados de la tierra, siendo así que la industria y el arte viajan por el hombre, y que pueden en consecuencia ser ostentados por los países nuevos, hasta sin preparación anterior?"
633,39,N81,"El Club Industrial ha dirigido en este sentido sus conatos, y aguarda el juicio público. Su preocupación es dada al porvenir. En el inventario de la riqueza, ocupa la industria el primer lugar; y es conocido el cálculo por el que Humboldt exaltó el poder del trabajo humano, cuando sentado a la sombra de las fabulosas montañas de Méjico, demostraba que los zapateros de Francia habían producido en un espacio dado de tiempo mayor riqueza que la extraída en oro y en plata durante tres siglos de aquellas minas, cuya existencia era reputada como un portento del Nuevo Mundo!"
634,39,N83,"Queremos y necesitamos ser industriales; y no debemos en consecuencia olvidar que el trabajo industrial sólo encuentra aplicación en el capital acumulado, que es dirigido por la ciencia, y que cae en la inanición cuando no se halla animado por el genio de las instituciones libres."
635,39,N85,Señores:
636,39,N87,He hablado de los promotores de la Exposición y debo dedicarles algunas palabras.
637,39,N89,"¡Cuántas vicisitudes ha atravesado el proyecto de una Exposición Continental, desde que fue propuesto por el Club Industrial! Han sido las de la Nación misma en estos tres años tan llenos de acontecimientos! Faltó desde el primer momento la atención pública, absorbida por otros cuidados, y los llamamientos de la propaganda se deslizaban en el silencio. Faltaban los recursos, y debieron ser sufragados por los iniciadores mismos, tomando las cuotas de sus suscripciones todos los productos de su trabajo cotidiano, porque el Club Industrial se compone de ochocientos artesanos, sin que haya en sus comisiones directivas un solo hombre opulento."
638,39,N91,"Llegábase últimamente el fin prometido. Se había luchado, y se había vencido. Estaba allí de pie la combativa e inverosímil Exposición, y se la tocaba con las manos, cuando sobrevino el huracán que abatió sobre la ras del suelo las elevadas construcciones, sin conmover la férrea constancia de sus trabajadores y recomenzaban la obra al día siguiente del desastre, impidiendo que se enunciara siquiera la idea de un aplazamiento, y con una obstinación que fue en aquellos días llamada caprichosa, y que será histórica."
639,39,N93,"El ruido contemporáneo no es siempre precursor de la gloria verdadera, y acontecimientos célebres bajo el prisma de la opinión o personajes ufanos y vanagloriosos, habrán caído en el silencio eterno, mientras que será en la historia consignada una fecha hoy desconocida: la del 23 de agosto de 1875 -en la que cincuenta obreros de la ciudad de Buenos Aires, movidos por los males públicos y por sus sufrimientos privados, se reunieron en la sucesión a fin de sobreponerse a los trastornos que el malestar económico introducía entre los hombres de todas las condiciones. Eran ya ellos los que inauguraron la Exposición del Colegio de 1877, para vencer los pavores de la crisis, entendiendo que para nada hay perdido, cuando queda en pie un pueblo que trabaja."
640,39,N95,Sr. Presidente:
641,39,N97,"Mi encargo se halla cumplido. Van a exhibirse los instrumentos del trabajo libre, los productos de nuestro suelo, los adelantos de nuestra cultura intelectual, y las obras de nuestras manos, que no son a la verdad, sino la primera revelación de industrias nacientes."
642,39,N99,"Podéis, sin embargo, decir que nuestro poder productivo ha crecido más allá de otro ejemplo en esta parte de América, afirmando al mismo tiempo que seguirá creciendo en proporciones mayores porque aumentamos nuestro número por la educación, y acumulamos el capital formado por el ahorro propio, o conocido por el crédito que hemos consolidado, para siempre, soportando los mayores sacrificios."
643,39,N101,"Podéis al mismo tiempo exhibir con nuestros productos, una Nación joven y poderosa, asentada sobre instituciones libres, con la seguridad de su paz interna y en posesión de vastos territorios, en los que puede renovarse la sorpresa de los imperios aparecidos de pronto entre las selvas norteamericanas."
644,39,N103,Sr. Presidente:
645,39,N105,"Os felicito sinceramente porque se inscribe un día como el presente en la historia de vuestra administración, quedando asociado vuestro nombre a la más grande Exposición que se haya realizado en la América del Sur."
646,39,N107,Señores:
647,39,N109,"Nada hay casual en la historia. Los pueblos nacen bajo ciertas leyes de desarrollo, que les dan un carácter indeleble, y que sólo aparecen varios en sus manifestaciones según los tiempos quedando idénticas en el fondo. Surge la nación cosmopolita de la América del Sud. Óyese hablar por las calles de nuestras ciudades todos los idiomas del mundo. Llamamos extranjero al que viene de afuera, porque no tenemos en el vocabulario otra palabra; pero ella ha perdido entre nosotros su sentido, porque el extranjero apenas llega deja de ser un extraño. Crecemos por dentro, pero nos dilatamos más por afuera: el historiador futuro notará demostrando esta ley de nuestro ser, que cuando se trata para los americanos de ser independientes, llevamos vencedora la espada de la emancipación por cinco naciones, y que somos cincuenta años después los primeros en convocar a estas mismas naciones, dueñas de sus destinos, al certamen del trabajo libre."
648,39,N111,"¡El pueblo de San Martín es el pueblo de la primera Exposición Continental! Que esta ley de expansión en el bien, en la libertad, en el amor de los hombres, será por siempre la aureola del nombre argentino, el signo de la gloria y la bendición que rescate nuestras faltas, y en medio de los cambios incesantes la ley permanente de nuestra historia - in manis lex!!!"
649,39,N116,"He dicho."""
650,39,N121,"""Señores: "
651,39,N123,Esta fiesta es uno de tantos signos de la época de paz y prosperidad por que atraviesa la República Argentina.
652,39,N125,"Apenas libre de sus peligros y trabajos interiores, eleva su espíritu, se encuentra dueña de sus destinos y el sentimiento de fraternidad americana que animó los corazones de los primeros iniciadores de nuestra emancipación, quienes no concebían la libertad ni la independencia sino para todo el continente; renace en el seno de una sociedad industrial con otros fines y otros propósitos, en estas mismas orillas del Plata."
653,39,N127,"Esta justa del trabajo, la segunda que tengo la honra de inaugurar en el corto tiempo que llevo de Gobierno, debidas ambas a la iniciativa individual, aparte de la importancia que tiene bajo el punto de vista material, por el número de objetos, la variedad de industrias, los distintos productos del suelo y de la labor del hombre, de los dispersos países que concurren a ella, tiene también una alta significación moral que abre nuevas vías y descubre nuevos horizontes al progreso de esta parte del continente."
654,39,N129,"Es el primer impulso dado hacia la comunidad de las naciones sud-americanas, que por el vasto teatro en que se desarrollan y por sus inumerables riquezas, están llamados a llevar algún día en su diestra y sobre sus hombros la antorcha de la libertad y la responsabilidad de la civilización y de la cultura humana, cuando otros pueblos y otras razas hayan hecho su jornada, como el Oriente, la Grecia, Roma, Europa, y hoy la América del Norte, siguiendo la ley fatal de la historia."
655,39,N131,"La idea de una confederación continental, sueño generoso, aspiración persistente en todos los grandes pensadores del Nuevo Mundo, no ha fracasado tantas veces por haber sido una quimera, sino porque se buscaba la asociación de los destinos políticos de los pueblos con prescindencia de sus destinos materiales. "
656,39,N133,"No bastan los vínculos de raza, ni la comunidad de instituciones, ni hablar la misma lengua, ni venir del mismo origen, para perpetuar la alianza íntima y sincera de las naciones. Se necesita la comunidad de intereses, la intimidad de las relaciones mercantiles, la emulación de las industrias y los cambios contínuos de los productos para acercar a los pueblos y nivelar sus fronteras."
657,39,N135,"Lo que presintió el espíritu gigantesco de Bolívar, lo que proyectaba Monteagudo a la víspera de su muerte, lo que se proponía el Congreso de Panamá en 1820 y el Congreso de Lima en 1848, todas las tentativas de federación fracasadas, se realizan hoy al fin, aunque imperfectamente todavía, en las márgenes del Plata, punto de partida de la más grande evolución de la historia sud-americana."
658,39,N137,"La unión continental se realizará, no bajo los auspicios de las victorias marciales, sino bajo los auspicios de la paz y de las conquistas del trabajo, y es en sus sabrosos frutos donde hemos de encontrar nuestro bienestar recíproco."
659,39,N139,Si hubiéramos convocado un congreso para la reforma a esa tendencia unificadora que tan brillantes intérpretes ha tenido no habríamos visto aquí ni a la mitad de los representantes del continente.
660,39,N141,"Desconfianzas, celos, rivalidades hubieran enervado a los unos y alejado a los otros."
661,39,N143,"Pero en esta asamblea están representadas todas las naciones americanas, a no ser aquellas que se encuentran agobiadas por las desdichas y las calamidades de la guerra, o que a causa de las grandes distancias no han podido vencer en breve tiempo las dificultades de la comunicación y el transporte."
662,39,N145,"Aquí está Méjico, Venezuela, el Brasil, Chile, la República Oriental y el Paraguay que han acudido presurosas a esta cita de amistad y de paz, a pesar de no haber sido ella iniciada y preparada sino por una sociedad de industriales, compuesta de hombres de diversas nacionalidades que han hecho su patria de la patria argentina, atraídos y fundidos en la base común de su población por ese poder irresistible de nivelación de la democracia en los países jóvenes y llenos de promesas, -fuerza que tanto realza la especie humana, haciendo iguales a todos ante los costumbres, ante la ley, ante el derecho y ante Dios."
663,39,N147,Señores:
664,39,N149,"Aceptando el honroso encargo que he recibido de la asociación promotora de esa fiesta, y que acaba de ser nuevamente expresado por su Presidente Honorario, y agradeciendo en nombre de la República Argentina a todas las naciones amigas que han concurrido con sus dones y productos, declaro abierta nuestra primera Exposición Continental."
665,39,N151,"Buenos Aires, marzo 15 de 1882"
666,39,N38,Del Presidente Honorario Dr. Avellaneda: 
667,39,N119,Del Presidente de la República:
668,39,,
669,40,N45,"Andrés Lamas - presidente, Manuel Ricardo Trelles - vicepresidente, Angel J.Carranza - secretario, Estanislao Zeballos, José I.Garmendia, Antonio Zinny, Benjamín Villegas, José Marcó del Pont, Enrique Peña, Juan A. Alsina, B. Marcó del Pont"
670,40,N47,"Plan de la Exposición Histórica. La Exposición Histórica se dividirá en doce secciones que representarán por medio de objetos auténticos, las diversas épocas de la historia del Río de la Plata, sus progresos, sus glorias, sus hechos notables y los recuerdos vinculados a sus hombres ilustres."
671,40,N55, 1; arqueología americana general (armas y utensilios de piedra. Armas de palo. Cerámica prehistórica)
672,40,N57, 2; época prehistórica argentina
673,40,N59, 3; época colombiana argentina
674,40,N62,"2° Época de los descubrimientos - Mapas, libros, retratos, cuadros y otros objetos que despiertan los recuerdos de esta grande época."
675,40,N67, 1; retratos históricos del Río de la Plata
676,40,N69, 2; rostros y medallones
677,40,N71, 3; cuadros y dibujos históricos
678,40,N73, 4; grabados y litografías
679,40,N76,"4° Mobiliario - Comprenderá a muebles históricos que representen una época, recuerden un hecho o hayan pertenecido a uno de los notables."
680,40,N81, 1; de los conquistadores del Río de la Plata
681,40,N83, 2; de la época colonial
682,40,N85, 3; de la época de la Independencia
683,40,N87, 4; manuscritos diversos
684,40,N92, Primera Sección
685,40,N94, 1; planchas xitográficas de las imprentas de las misiones del Paraná y Uruguay
686,40,N96, 2; restos de la primera imprenta de Buenos Aires
687,40,N98, 3; documentos históricos sobre las primeras imprentas
688,40,N100, 4; primeras producciones de la imprenta argentina
689,40,N102, Segunda Sección
690,40,N104, 1; incunables americanos
691,40,N106, 2; id. universales
692,40,N111, 1; mapas históricos del Río de la Plata
693,40,N113, 2; planos y croquis de batallas
694,40,N115, 3; planos especiales
695,40,N120, 1; medallas del Río de la Plata
696,40,N122, 2; medallas americanas
697,40,N53,1° Arqueología
698,40,N65,3° Pintura y escultura
699,40,N79,5° Manuscriptos - Autógrafes
700,40,N90,6° Tipografía
701,40,N109,7° Histórico-geográfica
702,40,N118,8° Numismática
703,40,,
704,41,N32,"¿Quién no ha leído alguna vez con deleite en sus floridos años aquellos cuentos de hadas en que una cáscara de nuez se convierte en elegante carruaje, el áspero cardal en maravilloso jardín, la miserable choza en suntuoso palacio y la vieja llena de harapos en apuesta princesa, radiante de juventud y de hermosura? Pues uno de estos cuentos de hadas nos ha parecido a nosotros la Exposición Continental comparando el aspecto que presentaba en la tarde del catorce con los momentos en que tuvo lugar su inauguración solemne."
705,41,N37,"Y muestra que no exageramos nada absolutamente, por no hay más que recorder aquella confusión de objetos de todas clases, de armarios por concluir, de cajones por vaciar, de adornos por colocar; y aquel sueño hecho de fea y mal ajustada tablazón, y el desorden que en todo reinaba, y cierto vacío general que causaba santo horror pareciendo imposible que tal desorden y tales faltas pudieran remediarse no en horas sino en días."
706,41,N39,"Mas pasaron veinticuatro horas, y en los suelos había alfombras, y en los escaparates había vestidos, gorras, libros, frascos, lanas, vinos y todo género de objetos y productos, y en las puertas cortinajes, y en los techos colgaduras, y los obreros, peones y demás gentes se veían substituídos por graciosas y bellísimas mujeres con apuesto de caballeros en número tal que de por sí sola la concurrencia daba por su calidad y número un mayor realce a la fiesta de apertura."
